No,Kode Perusahaan,Nama Perusahaan,Volume,Nilai,Frekuensi
1,AD,OSO Sekuritas Indonesia,5007300,1769862400,69
2,AF,Harita Kencana Sekuritas,13096400,9469495800,594
3,AG,Kiwoom Sekuritas Indonesia,261635691,187017672850,15358
4,AH,Shinhan Sekuritas Indonesia,2729200,5175942000,385
5,AI,UOB Kay Hian Sekuritas,320062112,210282424220,13474
6,AK,UBS Sekuritas Indonesia,3255331472,3538981590348,314346
7,AN,Wanteg Sekuritas,16949900,6904320600,887
8,AO,ERDIKHA ELIT SEKURITAS,502079800,189531466600,15529
9,AP,Pacific Sekuritas Indonesia,143620188,113479842920,20
10,AR,Binaartha Sekuritas,24860100,14906342900,2131
11,AT,Phintraco Sekuritas,221953700,95512949700,16351
12,AZ,Sucor Sekuritas,1142461100,805245363100,68933
13,BB,Verdhana Sekuritas Indonesia,218607428,436436915720,22186
14,BF,Inti Fikasa Sekuritas,8052400,6725542000,270
15,BK,J.P. Morgan Sekuritas Indonesia,1262378906,1931288360006,128755
16,BQ,Korea Investment and Sekuritas Indonesia,1681931600,385605628900,74533
17,BR,Trust Sekuritas,175925200,118986357000,16471
18,BS,Equity Sekuritas Indonesia,4242700,6503317000,474
19,CC,MANDIRI SEKURITAS,6436575100,4250581063800,439440
20,CD,Mega Capital Sekuritas,74943910,114920326050,4267
21,CP,KB Valbury Sekuritas,2937860796,1064855202636,120108
22,DD,Makindo Sekuritas,1116700,1010208200,98
23,DH,SINARMAS SEKURITAS,320388484,398409802048,25892
24,DP,DBS Vickers Sekuritas Indonesia,250198900,79258881400,7449
25,DR,RHB Sekuritas Indonesia,672338532,364388825280,41387
26,DU,KAF Sekuritas Indonesia,61560500,9344305800,1445
27,DX,Bahana Sekuritas,313892336,515364552030,19415
28,EL,Evergreen Sekuritas Indonesia,21691300,25418436900,1698
29,EP,MNC Sekuritas,1005660000,368189979200,47790
30,ES,EKOKAPITAL SEKURITAS,35504300,17562596000,1609
31,FO,Forte Global Sekuritas,519300,17622600,7
32,FS,Yuanta Sekuritas Indonesia,98581800,29757988200,3965
33,FZ,Waterfront Sekuritas Indonesia,147582900,58666112100,3760
34,GA,BNC Sekuritas Indonesia,75651700,16656504500,1095
35,GI,Webull Sekuritas Indonesia,97458000,10340110100,3733
36,GR,PANIN SEKURITAS Tbk.,1073166600,480474827600,42573
37,HD,KGI Sekuritas Indonesia,671340900,281518193900,34445
38,HP,Henan Putihrai Sekuritas,316951200,484638764200,12716
39,IC,Integrity Capital Sekuritas,25119200,559663700,287
40,ID,Anugerah Sekuritas Indonesia,31641400,10366432900,443
41,IF,SAMUEL SEKURITAS INDONESIA,798291500,371463494400,24495
42,IH,Indo Harvest Sekuritas,33628200,32345730100,3582
43,II,Danatama Makmur Sekuritas,67546900,36369638400,1783
44,IN,INVESTINDO NUSANTARA SEKURITA,155435000,80684351700,6014
45,IT,INTI TELADAN SEKURITAS,4884000,6816776400,475
46,IU,Indo Capital Sekuritas,139756200,39270381400,4174
47,KI,Ciptadana Sekuritas Asia,349059800,219757668900,17532
48,KK,Phillip Sekuritas Indonesia,1302941500,528177499700,88069
49,KZ,CLSA Sekuritas Indonesia,231681300,812220651600,30950
50,LG,Trimegah Sekuritas Indonesia Tbk.,1149308600,631901943500,46941
51,LS,Reliance Sekuritas Indonesia Tbk.,99052200,40167555900,3898
52,MG,Semesta Indovest Sekuritas,4509079100,1144728132700,120111
53,MI,Victoria Sekuritas Indonesia,9684400,9856082100,795
54,MU,Minna Padi Investama Sekuritas,166573900,44846618300,2280
55,NI,BNI Sekuritas,1441572128,1009807448000,111317
56,OD,BRI Danareksa Sekuritas,1032222400,812765361800,86262
57,OK,NET SEKURITAS,2658000,4592852500,173
58,PC,FAC Sekuritas Indonesia,75393600,58766756800,4084
59,PD,Indo Premier Sekuritas,2319373300,1682602653540,227399
60,PF,Danasakti Sekuritas Indonesia,12984100,16201234500,824
61,PG,Panca Global Sekuritas,49255500,15107928000,1588
62,PI,Magenta Kapital Sekuritas Indonesia,8598500,4090475700,576
63,PO,Pilarmas Investindo Sekuritas,46999800,27811259000,1340
64,PP,Aldiracita Sekuritas Indonesia,23836100,7978855500,195
65,QA,Tuntun Sekuritas Indonesia,96796000,22665583700,2570
66,RB,Ina Sekuritas Indonesia,281725300,69732769300,7484
67,RF,Buana Capital Sekuritas,75772100,89808294700,3599
68,RG,Profindo Sekuritas Indonesia,47487500,11220472100,2110
69,RO,Pluang Maju Sekuritas,35358200,15381206400,1590
70,RS,Yulie Sekuritas Indonesia Tbk.,11664900,8939842500,864
71,RX,Macquarie Sekuritas Indonesia,131822802,463596209340,10235
72,SA,Elit Sukses Sekuritas,35095700,30917705200,2427
73,SF,Surya Fajar Sekuritas,29653700,9748755500,1442
74,SH,Artha Sekuritas Indonesia,107560200,42314114900,2962
75,SQ,BCA Sekuritas,1082958796,1011077475350,80009
76,SS,Supra Sekuritas Indonesia,170543800,129076670000,6247
77,TF,Laba Sekuritas Indonesia,52983500,4760443900,1305
78,TP,OCBC Sekuritas Indonesia,300526644,176508474948,20208
79,TS,Dwidana Sakti Sekuritas,52515200,42921062800,1820
80,XA,NH Korindo Sekuritas Indonesia,554229300,299852070800,28708
81,XC,Ajaib Sekuritas Asia,2389812000,1175127322100,322145
82,XL,Stockbit Sekuritas Digital,14477463128,4649355621588,1578555
83,YB,Yakin Bertumbuh Sekuritas,1603834296,476132956144,49663
84,YJ,Lotus Andalan Sekuritas,363992028,200614243300,11603
85,YO,Amantara Sekuritas Indonesia,7480100,40845065700,112
86,YP,Mirae Asset Sekuritas Indonesia,5816063795,2267639931450,372692
87,YU,CGS International Sekuritas Indonesia,3744774794,2004999097050,119938
88,ZP,Maybank Sekuritas Indonesia,2519392434,2570812526196,179755
89,ZR,Bumiputera Sekuritas,27188100,18177471100,1100
