rsymbol,recommendation,api_action,confidence,trend_strength,price,sma5,sma20,sma50,rsi,macd,stochastic_k,short_trend,medium_trend,long_trend,overall_trend,update,reasons
NSSS,NEUTRAL,HOLD,40,0,930,1148,1433.25,990.9,42.66,58.83,2.72,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=3) | OBV BEARISH | Stochastic oversold
CYBR,NEUTRAL,HOLD,40,17,1620,1673,1729.25,1584.3,43.32,19.56,27.37,BEARISH,SIDEWAYS,BEARISH,BEARISH,2026-02-05,Short-term BEARISH | OBV BEARISH | OBV bearish | Above VWAP
HUMI,NEUTRAL,HOLD,40,8,224,215,296.75,246.78,28.71,-13.67,29.96,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BEARISH | RSI oversold | MACD bearish
UDNG,NEUTRAL,HOLD,40,0,2270,2570,3445,3899.4,25.45,-409.76,0.87,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=1) | OBV BEARISH | Bollinger OVERSOLD
AYAM,NEUTRAL,HOLD,40,8,404,417.2,442.3,409.28,44.14,0.23,22.22,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BEARISH | OBV bearish | Above VWAP
ASLI,NEUTRAL,HOLD,40,0,430,461.6,576.15,514.16,20.93,-21.33,15.15,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=15) | OBV BEARISH | RSI oversold
MKAP,NEUTRAL,HOLD,40,17,700,771,767.7,514.88,54.29,81.37,23.64,BEARISH,SIDEWAYS,BEARISH,BEARISH,2026-02-05,Short-term BEARISH | OBV BEARISH | OBV bearish | Above VWAP
AREA,NEUTRAL,HOLD,40,0,402,412.4,470.95,519.08,29.15,-33.86,31.91,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BULLISH | RSI oversold | MACD bearish
DATA,NEUTRAL,HOLD,40,0,3810,3932,4803.25,4497,16.57,-222.39,12.53,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=13) | OBV BEARISH | RSI oversold
NEST,NEUTRAL,HOLD,40,17,382,398.4,387.5,377.72,55.33,8.45,31.48,BEARISH,SIDEWAYS,BEARISH,BEARISH,2026-02-05,Short-term BEARISH | OBV BEARISH | OBV bearish | Above VWAP
DGWG,NEUTRAL,HOLD,40,50,376,359.6,367.8,377.32,46.55,-6.01,85.71,BULLISH,SIDEWAYS,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Stochastic OVERBOUGHT (K=86) | OBV BULLISH | Stochastic overbought | OBV bullish
PSAT,NEUTRAL,HOLD,40,0,1000,1002,1159.5,1245.4,26.53,-76.43,26.67,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BULLISH | RSI oversold | MACD bearish
CDIA,NEUTRAL,HOLD,40,8,1115,1089,1378.75,1648,28.42,-166.08,28.67,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BULLISH | RSI oversold | MACD bearish
SUPA,NEUTRAL,HOLD,40,17,930,898,1033.75,,28.72,-29.59,31.03,SIDEWAYS,BEARISH,BEARISH,BEARISH,2026-02-05,Medium-term BEARISH | OBV BULLISH | RSI oversold | OBV bullish
NCKL,NEUTRAL,HOLD,40,17,1310,1326,1383.25,1187.3,42.25,37.9,28.77,BEARISH,SIDEWAYS,BEARISH,BEARISH,2026-02-05,Short-term BEARISH | OBV BEARISH | OBV bearish | Above VWAP
MBMA,NEUTRAL,HOLD,40,8,650,653,724,626.8,30.56,8.11,33.33,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BULLISH | OBV bullish | Above VWAP
ADRO,NEUTRAL,HOLD,40,17,2100,2156,2217,1997.8,40.58,47.88,37.74,BEARISH,SIDEWAYS,BEARISH,BEARISH,2026-02-05,Short-term BEARISH | OBV BEARISH | OBV bearish | Above VWAP
AKRA,NEUTRAL,HOLD,30,50,1285,1281,1279.75,1265.3,53.15,6.67,62.71,SIDEWAYS,BULLISH,BEARISH,NEUTRAL,2026-02-05,Medium-term BULLISH | OBV BEARISH | OBV bearish | Above VWAP
AMAG,NEUTRAL,HOLD,30,33,426,432.4,424.2,402.24,55.93,9.48,20.75,BEARISH,BULLISH,BEARISH,NEUTRAL,2026-02-05,Short-term BEARISH | Medium-term BULLISH | OBV BEARISH | OBV bearish | Above VWAP
AUTO,NEUTRAL,HOLD,30,50,2650,2590,2671,2671.2,45.95,-24.06,65.38,BULLISH,SIDEWAYS,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | OBV BULLISH | MACD bearish | OBV bullish
BVIC,NEUTRAL,HOLD,30,42,129,128,134.75,124.04,38.18,0.15,50,BULLISH,SIDEWAYS,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | OBV BEARISH | OBV bearish | Above VWAP
CTRA,NEUTRAL,HOLD,30,67,870,848,865.25,860.9,38.71,-5.12,59.32,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | OBV BULLISH | MACD bearish | OBV bullish
DKFT,NEUTRAL,HOLD,30,33,855,842,884.25,790.5,40.96,11.74,57.14,SIDEWAYS,SIDEWAYS,BEARISH,NEUTRAL,2026-02-05,OBV BEARISH | OBV bearish | Above VWAP
INCO,NEUTRAL,HOLD,30,33,6300,6295,6398.75,5156.3,49.26,301.97,46.38,BEARISH,BULLISH,BEARISH,NEUTRAL,2026-02-05,Short-term BEARISH | Medium-term BULLISH | OBV BEARISH | OBV bearish | Above VWAP
INKP,NEUTRAL,HOLD,30,33,9100,8865,9737.5,8900.5,39.41,3.7,40.35,SIDEWAYS,SIDEWAYS,BEARISH,NEUTRAL,2026-02-05,OBV BEARISH | OBV bearish | Above VWAP
ITMG,NEUTRAL,HOLD,30,42,22125,22010,22173.75,21988,47.06,8.31,65.33,BULLISH,SIDEWAYS,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | OBV BULLISH | OBV bullish | Below VWAP
KRAS,NEUTRAL,HOLD,30,42,340,327.6,342.7,359.24,41.79,-8.52,75,BULLISH,BEARISH,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Medium-term BEARISH | OBV BULLISH | OBV bullish | Below VWAP
LPCK,NEUTRAL,HOLD,30,33,785,810,746.25,646.6,58.93,53.7,27.62,BEARISH,BULLISH,BEARISH,NEUTRAL,2026-02-05,Short-term BEARISH | Medium-term BULLISH | OBV BEARISH | OBV bearish | Above VWAP
MERK,NEUTRAL,HOLD,30,42,3210,3194,3258.5,3243.8,38.18,-22.02,75,BULLISH,BEARISH,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Medium-term BEARISH | OBV BULLISH | MACD bearish | OBV bullish
PANS,NEUTRAL,HOLD,30,42,1545,1539,1547.5,1505.4,41.67,11.54,59.38,SIDEWAYS,BULLISH,BEARISH,NEUTRAL,2026-02-05,Medium-term BULLISH | OBV BEARISH | OBV bearish | Above VWAP
PNIN,NEUTRAL,HOLD,30,67,815,798,811.75,814.3,43.33,-5.3,65.38,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | OBV BULLISH | MACD bearish | OBV bullish
SMAR,NEUTRAL,HOLD,30,42,5600,5660,5552.5,5138.1,50,147.77,50.25,BEARISH,BULLISH,BEARISH,NEUTRAL,2026-02-05,Short-term BEARISH | Medium-term BULLISH | OBV BEARISH | OBV bearish | Above VWAP
SMDR,NEUTRAL,HOLD,30,50,380,373.2,394.5,366.2,38.46,-2.05,65,BULLISH,SIDEWAYS,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | OBV BULLISH | MACD bearish | OBV bullish
UNTR,NEUTRAL,HOLD,30,33,27400,26385,28406.25,28867.5,38.66,-930.38,50.93,BULLISH,BEARISH,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Medium-term BEARISH | OBV BULLISH | MACD bearish | OBV bullish
UNVR,NEUTRAL,HOLD,30,33,2210,2045,2260.75,2490.5,37.76,-140.25,67.53,BULLISH,BEARISH,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Medium-term BEARISH | OBV BULLISH | MACD bearish | OBV bullish
WINS,NEUTRAL,HOLD,30,33,515,519,513.75,488.16,54.29,7.74,59.82,BEARISH,BULLISH,BEARISH,NEUTRAL,2026-02-05,Short-term BEARISH | Medium-term BULLISH | OBV BEARISH | OBV bearish | Above VWAP
POLI,NEUTRAL,HOLD,30,33,1090,1114,1049,952.1,58.08,51.27,38.32,BEARISH,BULLISH,BEARISH,NEUTRAL,2026-02-05,Short-term BEARISH | Medium-term BULLISH | OBV BEARISH | OBV bearish | Above VWAP
GGRP,NEUTRAL,HOLD,30,50,308,301.2,322,297.32,30.43,-0.08,53.33,BULLISH,SIDEWAYS,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | OBV BULLISH | MACD bearish | OBV bullish
UCID,NEUTRAL,HOLD,30,67,434,429.2,431.5,429.4,45.45,-0.29,72,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | OBV BULLISH | MACD bearish | OBV bullish
ADCP,NEUTRAL,HOLD,30,58,57,55,57.6,56.6,42.86,-0.57,63.64,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | OBV BULLISH | MACD bearish | OBV bullish
AVIA,NEUTRAL,HOLD,30,33,458,444.8,474.8,474.16,40,-9.2,55.17,BULLISH,BEARISH,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Medium-term BEARISH | OBV BULLISH | MACD bearish | OBV bullish
EURO,NEUTRAL,HOLD,30,33,635,653,632.05,428.58,47.06,69.07,28.57,BEARISH,BULLISH,BEARISH,NEUTRAL,2026-02-05,Short-term BEARISH | Medium-term BULLISH | OBV BEARISH | OBV bearish | Above VWAP
OMED,NEUTRAL,HOLD,30,33,214,210.2,224.05,212.68,40.7,-0.53,38.98,SIDEWAYS,SIDEWAYS,BEARISH,NEUTRAL,2026-02-05,OBV BULLISH | MACD bearish | OBV bullish
VKTR,NEUTRAL,HOLD,30,33,845,783,1011,837.28,42.91,-9.21,33.11,SIDEWAYS,SIDEWAYS,BEARISH,NEUTRAL,2026-02-05,OBV BULLISH | MACD bearish | OBV bullish
MDIY,NEUTRAL,HOLD,30,33,945,908,955.75,999.4,43.84,-26.52,73.33,BULLISH,BEARISH,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Medium-term BEARISH | OBV BULLISH | OBV bullish | Below VWAP
RLCO,NEUTRAL,HOLD,30,42,7500,7160,6973.5,,61.89,1489.88,51.02,BULLISH,SIDEWAYS,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | OBV BEARISH | OBV bearish | Above VWAP
DCII,NEUTRAL,HOLD,30,50,219275,211160,215017.5,229954,51.07,-4828.02,79.51,BULLISH,SIDEWAYS,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | OBV BULLISH | OBV bullish | Below VWAP
BBHI,SELL,SELL,80,42,1440,1428,1446.75,1467.3,45.6,-19.04,81.33,BULLISH,BEARISH,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Medium-term BEARISH | Stochastic OVERBOUGHT (K=81) | OBV BEARISH | MACD bearish
ARGO,SELL,SELL,70,0,1045,1062,1187.75,1082.7,44.44,-3.54,13.33,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=13) | OBV BEARISH | MACD bearish
BIRD,SELL,SELL,70,42,1705,1683,1712.25,1721,42.55,-12.49,76.92,BULLISH,BEARISH,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Medium-term BEARISH | OBV BEARISH | MACD bearish | OBV bearish
DNET,SELL,SELL,70,42,8975,8975,8978.75,8967.5,44,-5.28,87.5,BULLISH,SIDEWAYS,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Stochastic OVERBOUGHT (K=88) | OBV NEUTRAL | MACD bearish | Stochastic overbought
DSSA,SELL,SELL,70,0,88000,90820,101921.25,104441.5,35.06,-3724.92,12.98,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=13) | OBV BEARISH | MACD bearish
EXCL,SELL,SELL,70,0,2920,3072,3845.5,3585.6,31.65,-171.3,5.23,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=5) | OBV BEARISH | MACD bearish
FAST,SELL,SELL,70,0,440,454.4,560.1,566.76,31.53,-37.53,13.58,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=14) | OBV BEARISH | MACD bearish
GMTD,SELL,SELL,70,0,2130,2232,2477.5,2535.8,36.75,-120.41,1.14,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=1) | OBV BEARISH | MACD bearish
MLBI,SELL,SELL,70,33,5600,5575,5630,5656,38.46,-26.24,72.73,BULLISH,BEARISH,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Medium-term BEARISH | OBV BEARISH | MACD bearish | OBV bearish
NRCA,SELL,SELL,70,0,795,805,1069.75,1450.4,31.43,-182.84,18.18,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=18) | OBV BEARISH | MACD bearish
PALM,SELL,SELL,70,0,372,372.8,399.6,388.96,42.22,-3.9,13.89,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=14) | OBV BEARISH | MACD bearish
PSKT,SELL,SELL,70,0,222,239.2,302.5,299.9,37.62,-16.62,11.48,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=11) | OBV BEARISH | MACD bearish
PYFA,SELL,SELL,70,33,416,405.6,440.6,493.78,41.13,-26.64,53.09,BULLISH,BEARISH,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Medium-term BEARISH | OBV BEARISH | MACD bearish | OBV bearish
SMBR,SELL,SELL,70,33,276,266.8,284.7,287.28,35.71,-6.38,61.11,BULLISH,BEARISH,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Medium-term BEARISH | OBV BEARISH | MACD bearish | OBV bearish
WSBP,SELL,SELL,70,0,22,22.2,24.55,23.64,31.58,-0.68,20,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=20) | OBV BEARISH | MACD bearish
PBSA,SELL,SELL,70,0,1495,1535,2049.25,1721.5,34.59,-43.84,13.45,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=13) | OBV BEARISH | MACD bearish
GMFI,SELL,SELL,70,33,69,65.2,72.2,76.02,40,-3.48,61.11,BULLISH,BEARISH,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Medium-term BEARISH | OBV BEARISH | MACD bearish | OBV bearish
PANI,SELL,SELL,70,8,8800,8765,10752.5,12219,31.4,-1031.93,19.64,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=20) | OBV BEARISH | MACD bearish
KEEN,SELL,SELL,70,0,1030,1041,1080,1077.8,50.63,-4.69,18.58,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=19) | OBV BEARISH | MACD bearish
PMJS,SELL,SELL,70,42,117,116,118.35,116.28,44.44,-0.18,68.18,BULLISH,BEARISH,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Medium-term BEARISH | OBV BEARISH | MACD bearish | OBV bearish
INDO,SELL,SELL,70,0,256,270,392.45,357.02,32.84,-22.55,7.32,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=7) | OBV BEARISH | MACD bearish
UANG,SELL,SELL,70,0,3670,3880,4946.5,4946.7,42.97,-231.11,14.7,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=15) | OBV BEARISH | MACD bearish
MASB,SELL,SELL,70,0,3150,3192,3316,3274.6,37.37,-42.54,10.71,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=11) | OBV BEARISH | MACD bearish
JARR,SELL,SELL,70,0,2350,2424,2885.5,3125,31.18,-228.84,15.92,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=16) | OBV BEARISH | MACD bearish
CBRE,SELL,SELL,70,0,780,825,904.25,1003.9,34.62,-58.25,19.35,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=19) | OBV BEARISH | MACD bearish
SMIL,SELL,SELL,70,0,288,332,336,374.34,30.14,-13.37,29.51,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BEARISH | Bollinger OVERSOLD | MACD bearish
MSTI,SELL,SELL,70,0,1355,1357,1397,1416.5,39.58,-20.42,18.52,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=19) | OBV BEARISH | MACD bearish
BESS,SELL,SELL,70,0,1500,1542,1614.25,1646.7,46.41,-19.41,15.97,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=16) | OBV BEARISH | MACD bearish
RAAM,SELL,SELL,70,0,222,223.6,249.7,243.96,41.56,-6.61,19.57,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=20) | OBV BEARISH | MACD bearish
ADMF,SELL,SELL,70,33,8425,8240,8510,8548,38,-89.14,61.76,BULLISH,BEARISH,BEARISH,NEUTRAL,2026-02-05,Short-term BULLISH | Medium-term BEARISH | OBV BEARISH | MACD bearish | OBV bearish
ABMM,SELL,SELL,60,0,2810,2818,2905,2873.4,27.08,-17.09,45.65,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BEARISH | RSI oversold | MACD bearish
ACST,SELL,SELL,60,17,131,127.2,144.2,139.58,21.88,-3.98,27.78,SIDEWAYS,BEARISH,BEARISH,BEARISH,2026-02-05,Medium-term BEARISH | OBV BEARISH | RSI oversold | MACD bearish
ADHI,SELL,SELL,60,25,236,231.6,249.2,252.08,30.3,-7.83,59.38,BULLISH,BEARISH,BEARISH,BEARISH,2026-02-05,Short-term BULLISH | Medium-term BEARISH | OBV BULLISH | MACD bearish | OBV bullish
BACA,SELL,SELL,60,0,169,169,192.1,182.18,21.52,-6.96,34.67,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BEARISH | RSI oversold | MACD bearish
BBKP,SELL,SELL,60,0,74,74.2,83.2,79.04,16.67,-1.94,27.59,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BEARISH | RSI oversold | MACD bearish
BBYB,SELL,SELL,60,8,384,382.4,440.65,455.4,18.13,-24.31,23.16,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BEARISH | RSI oversold | MACD bearish
BCAP,SELL,SELL,60,0,54,54,59.8,57.9,22.22,-1.57,21.43,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BEARISH | RSI oversold | MACD bearish
BEKS,SELL,SELL,60,25,31,31,32.35,30.76,35.29,-0.05,30.77,BEARISH,SIDEWAYS,BEARISH,BEARISH,2026-02-05,Short-term BEARISH | OBV BEARISH | MACD bearish | OBV bearish
BHIT,SELL,SELL,60,17,39,38.6,44.35,40.06,24.14,-0.95,31.25,SIDEWAYS,BEARISH,BEARISH,BEARISH,2026-02-05,Medium-term BEARISH | OBV BEARISH | RSI oversold | MACD bearish
BKSL,SELL,SELL,60,0,139,140,151.9,149.62,44.54,-1.53,40.3,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BULLISH | MACD bearish | OBV bullish
BLTZ,SELL,SELL,60,0,2700,2700,2786,2879.8,35.09,-47.79,0,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=0) | OBV NEUTRAL | MACD bearish
BMAS,SELL,SELL,60,8,585,582,616.25,645.1,31.82,-19.65,45.45,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BULLISH | MACD bearish | OBV bullish
BMTR,SELL,SELL,60,0,140,141,156.75,147.32,18.87,-2.89,22.73,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BEARISH | RSI oversold | MACD bearish
BNLI,SELL,SELL,60,8,4140,4130,4773.25,4846.9,15.75,-240.31,20.55,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BEARISH | RSI oversold | MACD bearish
BOLT,SELL,SELL,60,17,1025,1018,1031.25,1030.8,50,-3.49,35.71,SIDEWAYS,BEARISH,BEARISH,BEARISH,2026-02-05,Medium-term BEARISH | OBV BULLISH | MACD bearish | OBV bullish
BSSR,SELL,SELL,60,17,3900,3892,3912,3912.8,42.86,-9.87,64.71,SIDEWAYS,BEARISH,BEARISH,BEARISH,2026-02-05,Medium-term BEARISH | OBV BULLISH | MACD bearish | OBV bullish
BTPN,SELL,SELL,60,0,2100,2140,2140,2129,49.18,4.68,32.26,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BEARISH | OBV bearish | Below VWAP
BYAN,SELL,SELL,60,0,14925,15200,16482.5,16802.5,5.05,-504.8,20.83,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BEARISH | RSI oversold | MACD bearish
CASS,SELL,SELL,60,0,2340,2410,2348,2576.4,51.52,-45.18,46.15,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BEARISH | OBV bearish | Below VWAP
CEKA,SELL,SELL,60,17,2360,2330,2407,2432.6,40,-27.94,30,SIDEWAYS,BEARISH,BEARISH,BEARISH,2026-02-05,Medium-term BEARISH | OBV BULLISH | MACD bearish | OBV bullish
CFIN,SELL,SELL,60,17,324,322.8,329.6,327.04,36.84,-1.38,70.83,SIDEWAYS,BEARISH,BEARISH,BEARISH,2026-02-05,Medium-term BEARISH | OBV BEARISH | MACD bearish | OBV bearish
CITA,SELL,SELL,60,0,4390,4412,4818.75,4503.3,29.18,-42.43,30.22,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BEARISH | RSI oversold | MACD bearish
CMNP,SELL,SELL,60,17,1415,1379,1522.25,1464.5,26.58,-38.93,39.51,SIDEWAYS,BEARISH,BEARISH,BEARISH,2026-02-05,Medium-term BEARISH | OBV BEARISH | RSI oversold | MACD bearish
CPRO,SELL,SELL,60,8,65,64.4,70.05,66.56,31.82,-0.89,32,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | OBV BULLISH | MACD bearish | OBV bullish
DVLA,SELL,SELL,60,0,1635,1647,1656.75,1656.3,40,-2.83,14.29,BEARISH,BEARISH,BEARISH,STRONG_BEARISH,2026-02-05,Short-term BEARISH | Medium-term BEARISH | Stochastic OVERSOLD (K=14) | OBV BEARISH | Bollinger OVERSOLD
